run,round,config_name,loo_r,is_r,gap,adjusted,f1_loo,qwk_loo
1,2,gland_ratio+mask+nnd__Ridge_a1,0.351,0.532,0.180,0.3363,0.330,0.250
1,2,gland_ratio+mask+nnd__Ridge_a0.1,0.349,0.532,0.183,0.3324,0.330,0.250
1,2,gland_mask+mean_nnd__PLS_2,0.332,0.484,0.153,0.3304,0.278,0.174
1,2,gland_mask+mean_nnd__Ridge_a0.1,0.332,0.484,0.153,0.3302,0.278,0.174
1,2,gland_mask+mean_nnd__Ridge_a1,0.330,0.484,0.153,0.3286,0.219,0.091
1,2,median_nnd_only__PLS_1,0.315,0.425,0.111,0.3145,0.308,0.240
1,2,median_nnd_only__Ridge_a0.1,0.314,0.425,0.111,0.3143,0.308,0.240
1,2,gland_ratio+nnd+density__Ridge_a10,0.328,0.510,0.182,0.3120,0.259,0.167
1,2,median_nnd_only__Ridge_a1,0.312,0.425,0.114,0.3120,0.308,0.240
1,2,gland_mask+mean_nnd__Ridge_a10,0.315,0.474,0.159,0.3107,0.232,0.095
1,2,gland_ratio+nnd+cv__ElasticNet_a0.1,0.328,0.513,0.185,0.3101,0.330,0.250
1,2,gland_ratio+density__PLS_1,0.310,0.443,0.134,0.3095,0.259,0.167
1,2,gland_ratio+nnd+iqr__Ridge_a0.1,0.336,0.542,0.206,0.3080,0.355,0.308
1,2,gland_ratio_only__PLS_1,0.304,0.416,0.111,0.3044,0.177,0.083
1,2,gland_ratio_only__Ridge_a0.1,0.304,0.416,0.111,0.3042,0.177,0.083
1,2,gland_ratio_only__Ridge_a1,0.303,0.415,0.113,0.3028,0.177,0.083
1,2,mean_nnd_only__PLS_1,0.294,0.405,0.111,0.2939,0.259,0.167
1,2,mean_nnd_only__Ridge_a0.1,0.294,0.405,0.111,0.2936,0.259,0.167
1,2,gland_ratio+nnd_cv__Ridge_a10,0.303,0.472,0.169,0.2930,0.287,0.182
1,2,gland_ratio+mask+nnd__ElasticNet_a0.1,0.318,0.519,0.201,0.2925,0.213,0.091
1,2,mean_nnd_only__Ridge_a1,0.291,0.405,0.114,0.2912,0.259,0.167
1,2,gland_ratio+nnd+density__Ridge_a1,0.316,0.516,0.200,0.2910,0.311,0.240
1,2,median_nnd_only__Ridge_a10,0.289,0.425,0.137,0.2887,0.167,0.000
1,2,median_nnd_only__ElasticNet_a0.1,0.289,0.425,0.137,0.2885,0.213,0.091
1,2,gland_mask+mean_nnd__ElasticNet_a0.1,0.299,0.473,0.174,0.2876,0.232,0.095
1,2,gland_ratio+nnd+density__Ridge_a0.1,0.314,0.517,0.203,0.2871,0.311,0.240
1,2,gland_ratio+nnd+density__PLS_2,0.314,0.517,0.203,0.2868,0.311,0.240
1,2,gland_ratio_only__ElasticNet_a0.1,0.284,0.415,0.131,0.2838,0.232,0.095
1,2,gland_ratio_only__Ridge_a10,0.283,0.415,0.132,0.2829,0.232,0.095
1,2,gland_ratio+nnd_cv__ElasticNet_a0.1,0.290,0.469,0.179,0.2756,0.265,0.174
1,2,mean_nnd_only__Ridge_a10,0.266,0.405,0.139,0.2663,0.232,0.095
1,2,mean_nnd_only__ElasticNet_a0.1,0.266,0.405,0.139,0.2657,0.232,0.095
1,2,gland_ratio+mask__PLS_1,0.266,0.407,0.142,0.2656,0.213,0.091
1,2,gland_ratio+density__PLS_2,0.270,0.448,0.177,0.2568,0.200,0.087
1,2,gland_ratio+density__Ridge_a0.1,0.270,0.448,0.177,0.2568,0.200,0.087
1,2,gland_ratio+density__Ridge_a1,0.270,0.447,0.177,0.2564,0.200,0.087
1,2,gland_ratio+nnd_cv__PLS_1,0.272,0.456,0.185,0.2541,0.195,0.087
1,2,gland_ratio+density__Ridge_a10,0.268,0.445,0.177,0.2539,0.200,0.087
1,2,gland_ratio+nnd+iqr__Ridge_a100,0.283,0.497,0.214,0.2509,0.167,0.000
1,2,gland_ratio+nnd+density__ElasticNet_a0.1,0.286,0.511,0.225,0.2485,0.259,0.167
1,2,gland_ratio+mask__Ridge_a1,0.254,0.420,0.166,0.2456,0.195,0.087
1,2,gland_ratio+mask__Ridge_a0.1,0.253,0.420,0.167,0.2444,0.177,0.083
1,2,gland_ratio+mask__PLS_2,0.253,0.420,0.167,0.2442,0.177,0.083
1,2,gland_ratio+mask__Ridge_a10,0.251,0.415,0.164,0.2439,0.213,0.091
1,2,nnd_iqr_only__PLS_1,0.242,0.378,0.136,0.2420,0.219,0.091
1,2,nnd_iqr_only__Ridge_a0.1,0.242,0.378,0.136,0.2417,0.219,0.091
1,2,nnd_iqr_only__Ridge_a1,0.239,0.378,0.139,0.2390,0.219,0.091
1,2,gland_ratio+mask__ElasticNet_a0.1,0.240,0.417,0.177,0.2262,0.213,0.091
1,2,gland_ratio+median_nnd__Ridge_a100,0.270,0.525,0.255,0.2175,0.167,0.000
1,2,gland_ratio+density__ElasticNet_a0.1,0.241,0.445,0.204,0.2145,0.200,0.087
1,2,nnd_iqr_only__Ridge_a10,0.212,0.378,0.166,0.2044,0.154,0.000
1,2,gland_ratio+mask+nnd__Ridge_a100,0.251,0.501,0.250,0.2013,0.232,0.095
1,2,nnd_iqr_only__ElasticNet_a0.1,0.208,0.378,0.170,0.1979,0.154,0.000
1,2,gland_ratio+nnd+density__Ridge_a100,0.246,0.499,0.253,0.1944,0.167,0.000
1,2,gland_ratio+mean_nnd__Ridge_a100,0.239,0.497,0.258,0.1846,0.167,0.000
1,2,gland_ratio+nnd_iqr__Ridge_a100,0.236,0.516,0.280,0.1716,0.167,0.000
1,2,tumor_density_only__PLS_1,0.115,0.301,0.186,0.0970,0.154,0.000
1,2,tumor_density_only__Ridge_a0.1,0.114,0.301,0.186,0.0962,0.154,0.000
1,2,tumor_density_only__Ridge_a1,0.109,0.301,0.191,0.0886,0.154,0.000
1,2,tumor_density_only__Ridge_a10,0.067,0.301,0.234,0.0251,0.154,0.000
1,2,gland_mask_only__PLS_1,0.040,0.264,0.224,0.0035,0.213,0.091
1,2,gland_mask_only__Ridge_a0.1,0.040,0.264,0.224,0.0029,0.213,0.091
1,2,tumor_density_only__ElasticNet_a0.1,0.052,0.301,0.249,0.0019,0.154,0.000
1,2,gland_mask_only__Ridge_a1,0.036,0.264,0.228,-0.0032,0.213,0.091
1,2,gland_mask_only__Ridge_a10,-0.004,0.264,0.269,-0.0636,0.167,0.000
1,2,nnd_std_only__PLS_1,-0.024,0.245,0.269,-0.0840,0.167,0.000
1,2,nnd_std_only__Ridge_a0.1,-0.025,0.245,0.270,-0.0848,0.167,0.000
1,2,nnd_std_only__Ridge_a1,-0.029,0.245,0.274,-0.0915,0.167,0.000
1,2,gland_ratio_only__Ridge_a100,0.032,0.415,0.383,-1.0000,0.167,0.000
1,2,gland_ratio_only__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_mask_only__Ridge_a100,-0.377,0.264,0.642,-1.0000,0.167,0.000
1,2,gland_mask_only__ElasticNet_a0.1,-0.048,0.264,0.313,-1.0000,0.167,0.000
1,2,gland_mask_only__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,mean_nnd_only__Ridge_a100,-0.005,0.405,0.409,-1.0000,0.167,0.000
1,2,mean_nnd_only__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,median_nnd_only__Ridge_a100,0.033,0.425,0.392,-1.0000,0.167,0.000
1,2,median_nnd_only__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,nnd_cv_only__Ridge_a0.1,-0.528,0.097,0.624,-1.0000,0.171,-0.095
1,2,nnd_cv_only__Ridge_a1,-0.533,0.097,0.630,-1.0000,0.167,0.000
1,2,nnd_cv_only__Ridge_a10,-0.584,0.097,0.681,-1.0000,0.167,0.000
1,2,nnd_cv_only__Ridge_a100,-0.850,0.097,0.947,-1.0000,0.167,0.000
1,2,nnd_cv_only__ElasticNet_a0.1,-0.649,0.097,0.746,-1.0000,0.167,0.000
1,2,nnd_cv_only__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,nnd_cv_only__PLS_1,-0.527,0.097,0.623,-1.0000,0.171,-0.095
1,2,nnd_std_only__Ridge_a10,-0.074,0.245,0.319,-1.0000,0.167,0.000
1,2,nnd_std_only__Ridge_a100,-0.464,0.245,0.709,-1.0000,0.167,0.000
1,2,nnd_std_only__ElasticNet_a0.1,-0.136,0.245,0.381,-1.0000,0.167,0.000
1,2,nnd_std_only__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,nnd_iqr_only__Ridge_a100,-0.072,0.378,0.450,-1.0000,0.167,0.000
1,2,nnd_iqr_only__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,tumor_density_only__Ridge_a100,-0.221,0.301,0.522,-1.0000,0.167,0.000
1,2,tumor_density_only__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,tumor_frac_only__Ridge_a0.1,-0.511,0.071,0.583,-1.0000,0.171,-0.095
1,2,tumor_frac_only__Ridge_a1,-0.517,0.071,0.588,-1.0000,0.171,-0.095
1,2,tumor_frac_only__Ridge_a10,-0.568,0.071,0.639,-1.0000,0.167,0.000
1,2,tumor_frac_only__Ridge_a100,-0.841,0.071,0.912,-1.0000,0.167,0.000
1,2,tumor_frac_only__ElasticNet_a0.1,-0.639,0.071,0.711,-1.0000,0.167,0.000
1,2,tumor_frac_only__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,tumor_frac_only__PLS_1,-0.511,0.071,0.582,-1.0000,0.171,-0.095
1,2,gland_ratio+mean_nnd__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_ratio+median_nnd__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_ratio+nnd_cv__Ridge_a100,-0.044,0.463,0.507,-1.0000,0.167,0.000
1,2,gland_ratio+nnd_cv__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_ratio+nnd_iqr__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_ratio+density__Ridge_a100,0.116,0.443,0.327,-1.0000,0.167,0.000
1,2,gland_ratio+density__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_mask+mean_nnd__Ridge_a100,0.103,0.468,0.365,-1.0000,0.167,0.000
1,2,gland_mask+mean_nnd__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_ratio+mask__Ridge_a100,0.077,0.406,0.329,-1.0000,0.167,0.000
1,2,gland_ratio+mask__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_ratio+nnd+cv__Ridge_a100,0.203,0.510,0.307,-1.0000,0.167,0.000
1,2,gland_ratio+nnd+cv__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_ratio+mask+nnd__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_ratio+nnd+iqr__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,2,gland_ratio+nnd+density__ElasticNet_a1,-1.000,0.000,1.000,-1.0000,0.167,0.000
1,3,ratio+nnd+mask_frac__PLS_1,0.446,0.570,0.124,0.4455,0.330,0.250
1,3,gland_ratio+median_nnd__PLS_1,0.436,0.536,0.100,0.4358,0.355,0.308
1,3,ratio+nnd+mean_area__PLS_1,0.430,0.547,0.117,0.4304,0.311,0.240
1,3,ratio+nnd+total_area_norm__PLS_1,0.429,0.546,0.117,0.4289,0.330,0.250
1,3,ratio+nnd+mask_frac__PLS_2,0.424,0.568,0.144,0.4235,0.355,0.308
1,3,ratio+nnd+comp_count+mean_area__PLS_1,0.419,0.560,0.141,0.4192,0.259,0.167
1,3,ratio+nnd+large_count__PLS_2,0.418,0.535,0.117,0.4180,0.375,0.320
1,3,gland_ratio+median_nnd__PLS_2,0.410,0.535,0.125,0.4100,0.355,0.308
1,3,gland_ratio+median_nnd__Ridge_a1,0.410,0.535,0.125,0.4100,0.375,0.320
1,3,ratio+nnd+comp_count_norm__PLS_1,0.409,0.527,0.119,0.4085,0.330,0.250
1,3,ratio+nnd+mask_frac__Ridge_a10,0.408,0.562,0.154,0.4065,0.297,0.182
1,3,ratio+nnd+comp_count+mean_area__PLS_2,0.408,0.563,0.155,0.4059,0.311,0.240
1,3,gland_ratio+median_nnd__Ridge_a10,0.404,0.529,0.125,0.4040,0.330,0.250
1,3,ratio+nnd+mask_frac__Ridge_a1,0.408,0.570,0.161,0.4025,0.311,0.240
1,3,ratio+nnd+large_count+area_norm__PLS_1,0.402,0.535,0.133,0.4022,0.311,0.240
1,3,ratio+nnd+comp_count+area_norm__PLS_1,0.401,0.530,0.129,0.4013,0.330,0.250
1,3,ratio+nnd+large_ratio__PLS_1,0.401,0.513,0.112,0.4011,0.308,0.240
1,3,ratio+nnd+large_count__PLS_1,0.399,0.514,0.115,0.3989,0.336,0.296
1,3,ratio+nnd+mean_area__PLS_2,0.398,0.547,0.149,0.3976,0.311,0.240
1,3,ratio+nnd+mean_area__Ridge_a10,0.395,0.541,0.146,0.3946,0.330,0.250
1,3,ratio+nnd+large_count__Ridge_a10,0.394,0.529,0.135,0.3941,0.330,0.250
1,3,ratio+nnd+mean_area__Ridge_a1,0.394,0.546,0.152,0.3931,0.311,0.240
1,3,ratio+nnd+total_area_norm__PLS_2,0.392,0.547,0.156,0.3888,0.311,0.240
1,3,ratio+nnd+large_ratio__PLS_2,0.388,0.531,0.143,0.3881,0.362,0.308
1,3,gland_ratio+median_nnd__ElasticNet_a0.1,0.388,0.531,0.143,0.3880,0.330,0.250
1,3,ratio+nnd+large_count__ElasticNet_a0.1,0.388,0.531,0.143,0.3880,0.330,0.250
1,3,ratio+nnd+large_count__Ridge_a1,0.388,0.536,0.149,0.3877,0.268,0.222
1,3,ratio+nnd+total_area_norm__Ridge_a10,0.385,0.543,0.158,0.3812,0.330,0.250
1,3,ratio+nnd+comp_count+mean_area__Ridge_a10,0.387,0.559,0.172,0.3761,0.330,0.250
1,3,ratio+nnd+large_ratio__Ridge_a10,0.376,0.527,0.151,0.3749,0.278,0.174
1,3,ratio+nnd+comp_count_norm__PLS_2,0.374,0.536,0.162,0.3685,0.362,0.308
1,3,ratio+nnd+large_count+area_norm__Ridge_a10,0.376,0.543,0.167,0.3677,0.330,0.250
1,3,ratio+nnd+total_area_norm__Ridge_a1,0.377,0.548,0.171,0.3666,0.311,0.240
1,3,ratio+nnd+large_ratio__ElasticNet_a0.1,0.368,0.531,0.162,0.3619,0.330,0.250
1,3,median_nnd+total_area_norm__PLS_1,0.361,0.488,0.127,0.3613,0.341,0.296
1,3,ratio+nnd+large_ratio__Ridge_a1,0.368,0.534,0.166,0.3601,0.330,0.250
1,3,ratio+nnd+comp_count_norm__Ridge_a10,0.366,0.532,0.166,0.3585,0.278,0.174
1,3,ratio+nnd+mask_frac__ElasticNet_a0.1,0.375,0.558,0.183,0.3584,0.278,0.174
1,3,ratio+nnd+large_count+area_norm__PLS_2,0.372,0.549,0.177,0.3581,0.311,0.240
1,3,gland_ratio+large_count__PLS_2,0.357,0.485,0.127,0.3573,0.265,0.174
1,3,gland_ratio+large_count__Ridge_a1,0.355,0.484,0.129,0.3548,0.265,0.174
1,3,ratio+nnd+comp_count_norm__ElasticNet_a0.1,0.363,0.531,0.168,0.3546,0.278,0.174
1,3,ratio+nnd+mean_area__ElasticNet_a0.1,0.364,0.541,0.178,0.3498,0.330,0.250
1,3,median_nnd+comp_count_norm__PLS_1,0.347,0.469,0.122,0.3472,0.385,0.320
1,3,ratio+nnd+comp_count+mean_area__Ridge_a1,0.369,0.563,0.195,0.3463,0.311,0.240
1,3,gland_ratio+large_count__PLS_1,0.344,0.481,0.137,0.3438,0.265,0.174
1,3,median_nnd+total_area_norm__PLS_2,0.342,0.487,0.146,0.3418,0.341,0.296
1,3,median_nnd+total_area_norm__Ridge_a1,0.341,0.487,0.146,0.3414,0.308,0.240
1,3,ratio+nnd+large_count+area_norm__Ridge_a1,0.361,0.551,0.190,0.3405,0.268,0.222
1,3,ratio+nnd+comp_count+area_norm__PLS_2,0.357,0.547,0.190,0.3366,0.311,0.240
1,3,ratio+nnd+comp_count_norm__Ridge_a1,0.353,0.537,0.185,0.3357,0.311,0.240
1,3,median_nnd+total_area_norm__Ridge_a10,0.334,0.483,0.149,0.3337,0.297,0.182
1,3,median_nnd+comp_count_norm__PLS_2,0.331,0.470,0.138,0.3315,0.330,0.250
1,3,median_nnd+comp_count_norm__Ridge_a1,0.331,0.470,0.139,0.3308,0.330,0.250
1,3,gland_ratio+large_count__Ridge_a10,0.331,0.473,0.142,0.3306,0.213,0.091
1,3,ratio+nnd+total_area_norm__ElasticNet_a0.1,0.348,0.540,0.192,0.3274,0.330,0.250
1,3,ratio+nnd+large_count+area_norm__ElasticNet_a0.1,0.348,0.540,0.192,0.3274,0.330,0.250
1,3,gland_ratio+large_count__ElasticNet_a0.1,0.325,0.474,0.149,0.3250,0.265,0.174
1,3,ratio+nnd+comp_count+area_norm__Ridge_a10,0.345,0.544,0.200,0.3198,0.278,0.174
1,3,median_nnd+comp_count_norm__Ridge_a10,0.317,0.469,0.152,0.3158,0.297,0.182
1,3,median_nnd_only__PLS_1,0.315,0.425,0.111,0.3145,0.308,0.240
1,3,median_nnd_only__Ridge_a1,0.312,0.425,0.114,0.3120,0.308,0.240
1,3,median_nnd+total_area_norm__ElasticNet_a0.1,0.316,0.483,0.167,0.3079,0.297,0.182
1,3,gland_ratio_only__PLS_1,0.304,0.416,0.111,0.3044,0.177,0.083
1,3,gland_ratio_only__Ridge_a1,0.303,0.415,0.113,0.3028,0.177,0.083
1,3,ratio+nnd+comp_count+area_norm__ElasticNet_a0.1,0.331,0.540,0.209,0.3021,0.278,0.174
1,3,ratio+nnd+comp_count+mean_area__ElasticNet_a0.1,0.328,0.553,0.225,0.2906,0.330,0.250
1,3,median_nnd_only__Ridge_a10,0.289,0.425,0.137,0.2887,0.167,0.000
1,3,gland_ratio+total_area_norm__PLS_1,0.289,0.422,0.133,0.2886,0.232,0.095
1,3,median_nnd_only__ElasticNet_a0.1,0.289,0.425,0.137,0.2885,0.213,0.091
1,3,gland_ratio+mean_area__PLS_1,0.287,0.431,0.144,0.2874,0.287,0.182
1,3,gland_ratio+mean_area__PLS_2,0.287,0.434,0.147,0.2868,0.265,0.174
1,3,gland_ratio+mean_area__Ridge_a1,0.286,0.434,0.148,0.2856,0.287,0.182
1,3,gland_ratio_only__ElasticNet_a0.1,0.284,0.415,0.131,0.2838,0.232,0.095
1,3,gland_ratio_only__Ridge_a10,0.283,0.415,0.132,0.2829,0.232,0.095
1,3,median_nnd+comp_count_norm__ElasticNet_a0.1,0.294,0.469,0.175,0.2816,0.352,0.261
1,3,ratio+nnd+comp_count+area_norm__Ridge_a1,0.315,0.548,0.233,0.2731,0.259,0.167
1,3,gland_ratio+large_ratio__ElasticNet_a0.1,0.264,0.415,0.151,0.2637,0.213,0.091
1,3,gland_ratio+comp_count_norm__PLS_1,0.264,0.398,0.134,0.2636,0.195,0.087
1,3,gland_ratio+large_ratio__PLS_1,0.263,0.393,0.130,0.2632,0.181,0.083
1,3,gland_ratio+total_area_norm__Ridge_a10,0.265,0.423,0.158,0.2611,0.232,0.095
1,3,gland_ratio+total_area_norm__Ridge_a1,0.265,0.428,0.163,0.2588,0.213,0.091
1,3,gland_ratio+total_area_norm__PLS_2,0.264,0.429,0.164,0.2569,0.213,0.091
1,3,gland_ratio+mean_area__Ridge_a10,0.265,0.433,0.168,0.2565,0.287,0.182
1,3,ratio+nnd+total_area_norm__Ridge_a100,0.287,0.523,0.236,0.2441,0.232,0.095
1,3,ratio+nnd+mask_frac__Ridge_a100,0.289,0.536,0.247,0.2403,0.232,0.095
1,3,gland_ratio+large_ratio__Ridge_a1,0.246,0.415,0.170,0.2358,0.177,0.083
1,3,gland_ratio+large_ratio__PLS_2,0.244,0.416,0.172,0.2332,0.177,0.083
1,3,gland_ratio+comp_count_norm__ElasticNet_a0.1,0.244,0.415,0.171,0.2330,0.232,0.095
1,3,ratio+nnd+comp_count+area_norm__Ridge_a100,0.276,0.513,0.237,0.2324,0.232,0.095
1,3,ratio+nnd+large_count+area_norm__Ridge_a100,0.276,0.517,0.241,0.2305,0.232,0.095
1,3,gland_ratio+large_ratio__Ridge_a10,0.240,0.411,0.171,0.2295,0.213,0.091
1,3,gland_ratio+total_area_norm__ElasticNet_a0.1,0.243,0.424,0.181,0.2280,0.232,0.095
1,3,ratio+nnd+large_ratio__Ridge_a100,0.269,0.514,0.245,0.2217,0.167,0.000
1,3,ratio+nnd+comp_count+mean_area__Ridge_a100,0.278,0.545,0.267,0.2196,0.167,0.000
1,3,gland_ratio+median_nnd__Ridge_a100,0.270,0.525,0.255,0.2175,0.167,0.000
1,3,gland_ratio+mean_area__ElasticNet_a0.1,0.238,0.432,0.194,0.2153,0.232,0.095
1,3,ratio+nnd+comp_count_norm__Ridge_a100,0.265,0.516,0.251,0.2142,0.167,0.000
1,3,ratio+nnd+mean_area__Ridge_a100,0.266,0.538,0.272,0.2044,0.167,0.000
1,3,gland_ratio+comp_count_norm__Ridge_a10,0.223,0.412,0.189,0.2037,0.232,0.095
1,3,comp_count_norm+mean_area__PLS_2,0.219,0.403,0.184,0.2024,0.265,0.174
