Round 3 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  tumor_median_nnd: r=+0.425
  tumor_mean_nnd: r=+0.405
  tumor_nnd_cv: r=-0.097
  gland_mask_fraction: r=-0.264
  gland_component_count: r=+0.216
  gland_component_count_norm: r=-0.260
  gland_mean_component_area: r=-0.190
  gland_median_component_area: r=-0.266
  gland_total_area_norm: r=-0.307
  gland_max_component_area: r=+0.015
  gland_large_component_count: r=+0.156
  gland_large_component_ratio: r=-0.257

ALL CONFIGURATIONS (sorted by adjusted score):
  ratio+nnd+large_count+area_norm__PLS_2: adjusted=0.3581 (LOO r=0.372, IS r=0.549, gap=0.177) [F1=0.311 QWK=0.240]
  gland_ratio+large_count__PLS_2: adjusted=0.3573 (LOO r=0.357, IS r=0.485, gap=0.127) [F1=0.265 QWK=0.174]
  gland_ratio+large_count__Ridge_a1: adjusted=0.3548 (LOO r=0.355, IS r=0.484, gap=0.129) [F1=0.265 QWK=0.174]
  ratio+nnd+comp_count_norm__ElasticNet_a0.1: adjusted=0.3546 (LOO r=0.363, IS r=0.531, gap=0.168) [F1=0.278 QWK=0.174]
  ratio+nnd+mean_area__ElasticNet_a0.1: adjusted=0.3498 (LOO r=0.364, IS r=0.541, gap=0.178) [F1=0.330 QWK=0.250]
  median_nnd+comp_count_norm__PLS_1: adjusted=0.3472 (LOO r=0.347, IS r=0.469, gap=0.122) [F1=0.385 QWK=0.320]
  ratio+nnd+comp_count+mean_area__Ridge_a1: adjusted=0.3463 (LOO r=0.369, IS r=0.563, gap=0.195) [F1=0.311 QWK=0.240]
  gland_ratio+large_count__PLS_1: adjusted=0.3438 (LOO r=0.344, IS r=0.481, gap=0.137) [F1=0.265 QWK=0.174]
  median_nnd+total_area_norm__PLS_2: adjusted=0.3418 (LOO r=0.342, IS r=0.487, gap=0.146) [F1=0.341 QWK=0.296]
  median_nnd+total_area_norm__Ridge_a1: adjusted=0.3414 (LOO r=0.341, IS r=0.487, gap=0.146) [F1=0.308 QWK=0.240]
  ratio+nnd+large_count+area_norm__Ridge_a1: adjusted=0.3405 (LOO r=0.361, IS r=0.551, gap=0.190) [F1=0.268 QWK=0.222]
  ratio+nnd+comp_count+area_norm__PLS_2: adjusted=0.3366 (LOO r=0.357, IS r=0.547, gap=0.190) [F1=0.311 QWK=0.240]
  ratio+nnd+comp_count_norm__Ridge_a1: adjusted=0.3357 (LOO r=0.353, IS r=0.537, gap=0.185) [F1=0.311 QWK=0.240]
  median_nnd+total_area_norm__Ridge_a10: adjusted=0.3337 (LOO r=0.334, IS r=0.483, gap=0.149) [F1=0.297 QWK=0.182]
  median_nnd+comp_count_norm__PLS_2: adjusted=0.3315 (LOO r=0.331, IS r=0.470, gap=0.138) [F1=0.330 QWK=0.250]
  median_nnd+comp_count_norm__Ridge_a1: adjusted=0.3308 (LOO r=0.331, IS r=0.470, gap=0.139) [F1=0.330 QWK=0.250]
  gland_ratio+large_count__Ridge_a10: adjusted=0.3306 (LOO r=0.331, IS r=0.473, gap=0.142) [F1=0.213 QWK=0.091]
  ratio+nnd+total_area_norm__ElasticNet_a0.1: adjusted=0.3274 (LOO r=0.348, IS r=0.540, gap=0.192) [F1=0.330 QWK=0.250]
  ratio+nnd+large_count+area_norm__ElasticNet_a0.1: adjusted=0.3274 (LOO r=0.348, IS r=0.540, gap=0.192) [F1=0.330 QWK=0.250]
  gland_ratio+large_count__ElasticNet_a0.1: adjusted=0.3250 (LOO r=0.325, IS r=0.474, gap=0.149) [F1=0.265 QWK=0.174]
  ratio+nnd+comp_count+area_norm__Ridge_a10: adjusted=0.3198 (LOO r=0.345, IS r=0.544, gap=0.200) [F1=0.278 QWK=0.174]
  median_nnd+comp_count_norm__Ridge_a10: adjusted=0.3158 (LOO r=0.317, IS r=0.469, gap=0.152) [F1=0.297 QWK=0.182]
  median_nnd_only__PLS_1: adjusted=0.3145 (LOO r=0.315, IS r=0.425, gap=0.111) [F1=0.308 QWK=0.240]
  median_nnd_only__Ridge_a1: adjusted=0.3120 (LOO r=0.312, IS r=0.425, gap=0.114) [F1=0.308 QWK=0.240]
  median_nnd+total_area_norm__ElasticNet_a0.1: adjusted=0.3079 (LOO r=0.316, IS r=0.483, gap=0.167) [F1=0.297 QWK=0.182]
  gland_ratio_only__PLS_1: adjusted=0.3044 (LOO r=0.304, IS r=0.416, gap=0.111) [F1=0.177 QWK=0.083]
  gland_ratio_only__Ridge_a1: adjusted=0.3028 (LOO r=0.303, IS r=0.415, gap=0.113) [F1=0.177 QWK=0.083]
  ratio+nnd+comp_count+area_norm__ElasticNet_a0.1: adjusted=0.3021 (LOO r=0.331, IS r=0.540, gap=0.209) [F1=0.278 QWK=0.174]
  ratio+nnd+comp_count+mean_area__ElasticNet_a0.1: adjusted=0.2906 (LOO r=0.328, IS r=0.553, gap=0.225) [F1=0.330 QWK=0.250]
  median_nnd_only__Ridge_a10: adjusted=0.2887 (LOO r=0.289, IS r=0.425, gap=0.137) [F1=0.167 QWK=0.000]
  gland_ratio+total_area_norm__PLS_1: adjusted=0.2886 (LOO r=0.289, IS r=0.422, gap=0.133) [F1=0.232 QWK=0.095]
  median_nnd_only__ElasticNet_a0.1: adjusted=0.2885 (LOO r=0.289, IS r=0.425, gap=0.137) [F1=0.213 QWK=0.091]
  gland_ratio+mean_area__PLS_1: adjusted=0.2874 (LOO r=0.287, IS r=0.431, gap=0.144) [F1=0.287 QWK=0.182]
  gland_ratio+mean_area__PLS_2: adjusted=0.2868 (LOO r=0.287, IS r=0.434, gap=0.147) [F1=0.265 QWK=0.174]
  gland_ratio+mean_area__Ridge_a1: adjusted=0.2856 (LOO r=0.286, IS r=0.434, gap=0.148) [F1=0.287 QWK=0.182]
  gland_ratio_only__ElasticNet_a0.1: adjusted=0.2838 (LOO r=0.284, IS r=0.415, gap=0.131) [F1=0.232 QWK=0.095]
  gland_ratio_only__Ridge_a10: adjusted=0.2829 (LOO r=0.283, IS r=0.415, gap=0.132) [F1=0.232 QWK=0.095]
  median_nnd+comp_count_norm__ElasticNet_a0.1: adjusted=0.2816 (LOO r=0.294, IS r=0.469, gap=0.175) [F1=0.352 QWK=0.261]
  ratio+nnd+comp_count+area_norm__Ridge_a1: adjusted=0.2731 (LOO r=0.315, IS r=0.548, gap=0.233) [F1=0.259 QWK=0.167]
  gland_ratio+large_ratio__ElasticNet_a0.1: adjusted=0.2637 (LOO r=0.264, IS r=0.415, gap=0.151) [F1=0.213 QWK=0.091]
  gland_ratio+comp_count_norm__PLS_1: adjusted=0.2636 (LOO r=0.264, IS r=0.398, gap=0.134) [F1=0.195 QWK=0.087]
  gland_ratio+large_ratio__PLS_1: adjusted=0.2632 (LOO r=0.263, IS r=0.393, gap=0.130) [F1=0.181 QWK=0.083]
  gland_ratio+total_area_norm__Ridge_a10: adjusted=0.2611 (LOO r=0.265, IS r=0.423, gap=0.158) [F1=0.232 QWK=0.095]
  gland_ratio+total_area_norm__Ridge_a1: adjusted=0.2588 (LOO r=0.265, IS r=0.428, gap=0.163) [F1=0.213 QWK=0.091]
  gland_ratio+total_area_norm__PLS_2: adjusted=0.2569 (LOO r=0.264, IS r=0.429, gap=0.164) [F1=0.213 QWK=0.091]
  gland_ratio+mean_area__Ridge_a10: adjusted=0.2565 (LOO r=0.265, IS r=0.433, gap=0.168) [F1=0.287 QWK=0.182]
  ratio+nnd+total_area_norm__Ridge_a100: adjusted=0.2441 (LOO r=0.287, IS r=0.523, gap=0.236) [F1=0.232 QWK=0.095]
  ratio+nnd+mask_frac__Ridge_a100: adjusted=0.2403 (LOO r=0.289, IS r=0.536, gap=0.247) [F1=0.232 QWK=0.095]
  gland_ratio+large_ratio__Ridge_a1: adjusted=0.2358 (LOO r=0.246, IS r=0.415, gap=0.170) [F1=0.177 QWK=0.083]
  gland_ratio+large_ratio__PLS_2: adjusted=0.2332 (LOO r=0.244, IS r=0.416, gap=0.172) [F1=0.177 QWK=0.083]
  gland_ratio+comp_count_norm__ElasticNet_a0.1: adjusted=0.2330 (LOO r=0.244, IS r=0.415, gap=0.171) [F1=0.232 QWK=0.095]
  ratio+nnd+comp_count+area_norm__Ridge_a100: adjusted=0.2324 (LOO r=0.276, IS r=0.513, gap=0.237) [F1=0.232 QWK=0.095]
  ratio+nnd+large_count+area_norm__Ridge_a100: adjusted=0.2305 (LOO r=0.276, IS r=0.517, gap=0.241) [F1=0.232 QWK=0.095]
  gland_ratio+large_ratio__Ridge_a10: adjusted=0.2295 (LOO r=0.240, IS r=0.411, gap=0.171) [F1=0.213 QWK=0.091]
  gland_ratio+total_area_norm__ElasticNet_a0.1: adjusted=0.2280 (LOO r=0.243, IS r=0.424, gap=0.181) [F1=0.232 QWK=0.095]
  ratio+nnd+large_ratio__Ridge_a100: adjusted=0.2217 (LOO r=0.269, IS r=0.514, gap=0.245) [F1=0.167 QWK=0.000]
  ratio+nnd+comp_count+mean_area__Ridge_a100: adjusted=0.2196 (LOO r=0.278, IS r=0.545, gap=0.267) [F1=0.167 QWK=0.000]
  gland_ratio+median_nnd__Ridge_a100: adjusted=0.2175 (LOO r=0.270, IS r=0.525, gap=0.255) [F1=0.167 QWK=0.000]
