Round 2 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  gland_mask_fraction: r=-0.264
  tumor_mean_nnd: r=+0.405
  tumor_median_nnd: r=+0.425
  tumor_nnd_cv: r=-0.097
  tumor_nnd_std: r=+0.245
  tumor_nnd_iqr: r=+0.378
  tumor_cell_count_st: r=+0.296
  tumor_cell_fraction: r=+0.071
  tumor_cell_density: r=+0.301

ALL CONFIGURATIONS (sorted by adjusted score):
  gland_mask+mean_nnd__Ridge_a0.1: adjusted=0.3302 (LOO r=0.332, IS r=0.484, gap=0.153) [F1=0.278 QWK=0.174]
  gland_mask+mean_nnd__Ridge_a1: adjusted=0.3286 (LOO r=0.330, IS r=0.484, gap=0.153) [F1=0.219 QWK=0.091]
  median_nnd_only__PLS_1: adjusted=0.3145 (LOO r=0.315, IS r=0.425, gap=0.111) [F1=0.308 QWK=0.240]
  median_nnd_only__Ridge_a0.1: adjusted=0.3143 (LOO r=0.314, IS r=0.425, gap=0.111) [F1=0.308 QWK=0.240]
  gland_ratio+nnd+density__Ridge_a10: adjusted=0.3120 (LOO r=0.328, IS r=0.510, gap=0.182) [F1=0.259 QWK=0.167]
  median_nnd_only__Ridge_a1: adjusted=0.3120 (LOO r=0.312, IS r=0.425, gap=0.114) [F1=0.308 QWK=0.240]
  gland_mask+mean_nnd__Ridge_a10: adjusted=0.3107 (LOO r=0.315, IS r=0.474, gap=0.159) [F1=0.232 QWK=0.095]
  gland_ratio+nnd+cv__ElasticNet_a0.1: adjusted=0.3101 (LOO r=0.328, IS r=0.513, gap=0.185) [F1=0.330 QWK=0.250]
  gland_ratio+density__PLS_1: adjusted=0.3095 (LOO r=0.310, IS r=0.443, gap=0.134) [F1=0.259 QWK=0.167]
  gland_ratio+nnd+iqr__Ridge_a0.1: adjusted=0.3080 (LOO r=0.336, IS r=0.542, gap=0.206) [F1=0.355 QWK=0.308]
  gland_ratio_only__PLS_1: adjusted=0.3044 (LOO r=0.304, IS r=0.416, gap=0.111) [F1=0.177 QWK=0.083]
  gland_ratio_only__Ridge_a0.1: adjusted=0.3042 (LOO r=0.304, IS r=0.416, gap=0.111) [F1=0.177 QWK=0.083]
  gland_ratio_only__Ridge_a1: adjusted=0.3028 (LOO r=0.303, IS r=0.415, gap=0.113) [F1=0.177 QWK=0.083]
  mean_nnd_only__PLS_1: adjusted=0.2939 (LOO r=0.294, IS r=0.405, gap=0.111) [F1=0.259 QWK=0.167]
  mean_nnd_only__Ridge_a0.1: adjusted=0.2936 (LOO r=0.294, IS r=0.405, gap=0.111) [F1=0.259 QWK=0.167]
  gland_ratio+nnd_cv__Ridge_a10: adjusted=0.2930 (LOO r=0.303, IS r=0.472, gap=0.169) [F1=0.287 QWK=0.182]
  gland_ratio+mask+nnd__ElasticNet_a0.1: adjusted=0.2925 (LOO r=0.318, IS r=0.519, gap=0.201) [F1=0.213 QWK=0.091]
  mean_nnd_only__Ridge_a1: adjusted=0.2912 (LOO r=0.291, IS r=0.405, gap=0.114) [F1=0.259 QWK=0.167]
  gland_ratio+nnd+density__Ridge_a1: adjusted=0.2910 (LOO r=0.316, IS r=0.516, gap=0.200) [F1=0.311 QWK=0.240]
  median_nnd_only__Ridge_a10: adjusted=0.2887 (LOO r=0.289, IS r=0.425, gap=0.137) [F1=0.167 QWK=0.000]
  median_nnd_only__ElasticNet_a0.1: adjusted=0.2885 (LOO r=0.289, IS r=0.425, gap=0.137) [F1=0.213 QWK=0.091]
  gland_mask+mean_nnd__ElasticNet_a0.1: adjusted=0.2876 (LOO r=0.299, IS r=0.473, gap=0.174) [F1=0.232 QWK=0.095]
  gland_ratio+nnd+density__Ridge_a0.1: adjusted=0.2871 (LOO r=0.314, IS r=0.517, gap=0.203) [F1=0.311 QWK=0.240]
  gland_ratio+nnd+density__PLS_2: adjusted=0.2868 (LOO r=0.314, IS r=0.517, gap=0.203) [F1=0.311 QWK=0.240]
  gland_ratio_only__ElasticNet_a0.1: adjusted=0.2838 (LOO r=0.284, IS r=0.415, gap=0.131) [F1=0.232 QWK=0.095]
  gland_ratio_only__Ridge_a10: adjusted=0.2829 (LOO r=0.283, IS r=0.415, gap=0.132) [F1=0.232 QWK=0.095]
  gland_ratio+nnd_cv__ElasticNet_a0.1: adjusted=0.2756 (LOO r=0.290, IS r=0.469, gap=0.179) [F1=0.265 QWK=0.174]
  mean_nnd_only__Ridge_a10: adjusted=0.2663 (LOO r=0.266, IS r=0.405, gap=0.139) [F1=0.232 QWK=0.095]
  mean_nnd_only__ElasticNet_a0.1: adjusted=0.2657 (LOO r=0.266, IS r=0.405, gap=0.139) [F1=0.232 QWK=0.095]
  gland_ratio+mask__PLS_1: adjusted=0.2656 (LOO r=0.266, IS r=0.407, gap=0.142) [F1=0.213 QWK=0.091]
  gland_ratio+density__PLS_2: adjusted=0.2568 (LOO r=0.270, IS r=0.448, gap=0.177) [F1=0.200 QWK=0.087]
  gland_ratio+density__Ridge_a0.1: adjusted=0.2568 (LOO r=0.270, IS r=0.448, gap=0.177) [F1=0.200 QWK=0.087]
  gland_ratio+density__Ridge_a1: adjusted=0.2564 (LOO r=0.270, IS r=0.447, gap=0.177) [F1=0.200 QWK=0.087]
  gland_ratio+nnd_cv__PLS_1: adjusted=0.2541 (LOO r=0.272, IS r=0.456, gap=0.185) [F1=0.195 QWK=0.087]
  gland_ratio+density__Ridge_a10: adjusted=0.2539 (LOO r=0.268, IS r=0.445, gap=0.177) [F1=0.200 QWK=0.087]
