Round 7 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  tumor_median_nnd: r=+0.420
  gland_mask_fraction: r=-0.264

Embedding availability: gland=30/30, tumor=30/30, all=30/30

ALL CONFIGURATIONS (sorted by adjusted score):
  gland+tumor_emb__Ridge5000: adjusted=-1.0000 (LOO r=0.473, IS r=0.865, gap=0.392) [F1=0.297 QWK=0.182]
  gland+tumor_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.414, IS r=0.828, gap=0.414) [F1=0.232 QWK=0.095]
  gland+tumor_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.069, IS r=0.776, gap=0.845) [F1=0.167 QWK=0.000]
  hc+gland+tumor_emb__PLS1: adjusted=-1.0000 (LOO r=0.488, IS r=0.819, gap=0.331) [F1=0.394 QWK=0.240]
  hc+gland+tumor_emb__PLS2: adjusted=-1.0000 (LOO r=0.567, IS r=0.920, gap=0.354) [F1=0.427 QWK=0.296]
  hc+gland+tumor_emb__Ridge10000: adjusted=-1.0000 (LOO r=0.415, IS r=0.828, gap=0.414) [F1=0.232 QWK=0.095]
  hc+gland+tumor_emb__Ridge50000: adjusted=-1.0000 (LOO r=-0.065, IS r=0.776, gap=0.841) [F1=0.167 QWK=0.000]
  gland_emb__Ridge100: adjusted=-1.0000 (LOO r=0.580, IS r=0.987, gap=0.407) [F1=0.487 QWK=0.400]
  gland_emb__Ridge500: adjusted=-1.0000 (LOO r=0.573, IS r=0.941, gap=0.368) [F1=0.370 QWK=0.231]
  gland_emb__Ridge2000: adjusted=-1.0000 (LOO r=0.472, IS r=0.866, gap=0.394) [F1=0.297 QWK=0.182]
  gland_emb__Ridge100000: adjusted=-1.0000 (LOO r=-0.875, IS r=0.743, gap=1.617) [F1=0.167 QWK=0.000]
  gland_emb__PLS4: adjusted=-1.0000 (LOO r=0.606, IS r=0.965, gap=0.359) [F1=0.564 QWK=0.500]
  gland_emb__PLS5: adjusted=-1.0000 (LOO r=0.612, IS r=0.979, gap=0.367) [F1=0.468 QWK=0.353]
  tumor_emb__Ridge100: adjusted=-1.0000 (LOO r=0.519, IS r=0.985, gap=0.466) [F1=0.476 QWK=0.500]
  tumor_emb__Ridge500: adjusted=-1.0000 (LOO r=0.544, IS r=0.933, gap=0.389) [F1=0.433 QWK=0.385]
  tumor_emb__Ridge2000: adjusted=-1.0000 (LOO r=0.495, IS r=0.860, gap=0.365) [F1=0.352 QWK=0.261]
  tumor_emb__Ridge100000: adjusted=-1.0000 (LOO r=-0.875, IS r=0.749, gap=1.624) [F1=0.167 QWK=0.000]
  tumor_emb__PLS4: adjusted=-1.0000 (LOO r=0.553, IS r=0.954, gap=0.401) [F1=0.536 QWK=0.485]
  gland_emb__EN_a02_l05: adjusted=-1.0000 (LOO r=0.421, IS r=0.951, gap=0.531) [F1=0.370 QWK=0.231]
  gland_emb__EN_a05_l05: adjusted=-1.0000 (LOO r=0.217, IS r=0.859, gap=0.642) [F1=0.232 QWK=0.095]
  gland_emb__EN_a20_l05: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_emb__EN_a1_l01: adjusted=-1.0000 (LOO r=0.472, IS r=0.936, gap=0.465) [F1=0.370 QWK=0.231]
  gland_emb__EN_a1_l09: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  hc+gland_emb__Ridge100: adjusted=-1.0000 (LOO r=0.578, IS r=0.987, gap=0.409) [F1=0.528 QWK=0.452]
  hc+gland_emb__Ridge500: adjusted=-1.0000 (LOO r=0.572, IS r=0.941, gap=0.369) [F1=0.370 QWK=0.231]
  hc+gland_emb__Ridge2000: adjusted=-1.0000 (LOO r=0.472, IS r=0.865, gap=0.393) [F1=0.297 QWK=0.182]
  hc+gland_emb__Ridge100000: adjusted=-1.0000 (LOO r=-0.872, IS r=0.742, gap=1.614) [F1=0.167 QWK=0.000]

BEST: hc3__PLS1 adjusted=0.4435
