Round 10 Details
================================================================================

Best model: gland_PCA20_a1
Description: gland emb PCA(20) + Ridge(a=1)
LOO Pearson r: 0.6571
IS Pearson r: 0.9466
Gap: 0.2895
Adjusted: 0.5874

Best per category:
  Gland Embedding: gland_PCA20_a1 adj=0.5874 LOO_r=0.6571 gap=0.2895
  Tumor Cell Embedding: tumor_PCA3_a1 adj=0.1153 LOO_r=0.1665 gap=0.2524
  Combined Embedding: combined_PCA5_a1 adj=0.2029 LOO_r=0.2639 gap=0.2720
  Blend: blend_g0.7_gland_PCA20_a1_c0.3_combined_PCA5_a20 adj=0.5667 LOO_r=0.6387 gap=0.2939
  ElasticNet: gland_EN_PCA20_a0.01_l10.5 adj=0.5854 LOO_r=0.6558 gap=0.2907

All configurations (sorted by adjusted):
  gland_PCA6_a10: adj=-1.0000 LOO_r=0.3713 IS_r=0.7133 gap=0.3421 F1=0.3519 QWK=0.2609
  gland_PCA6_a20: adj=-1.0000 LOO_r=0.3708 IS_r=0.7132 gap=0.3423 F1=0.3519 QWK=0.2609
  gland_PCA6_a50: adj=-1.0000 LOO_r=0.3698 IS_r=0.7128 gap=0.3430 F1=0.3519 QWK=0.2609
  gland_PCA6_a100: adj=-1.0000 LOO_r=0.3681 IS_r=0.7123 gap=0.3442 F1=0.3519 QWK=0.2609
  gland_PCA6_a200: adj=-1.0000 LOO_r=0.3643 IS_r=0.7122 gap=0.3479 F1=0.3519 QWK=0.2609
  gland_PCA7_a1: adj=-1.0000 LOO_r=0.3573 IS_r=0.7106 gap=0.3533 F1=0.3519 QWK=0.2609
  gland_PCA7_a5: adj=-1.0000 LOO_r=0.3572 IS_r=0.7106 gap=0.3533 F1=0.3519 QWK=0.2609
  gland_PCA7_a10: adj=-1.0000 LOO_r=0.3571 IS_r=0.7105 gap=0.3534 F1=0.3519 QWK=0.2609
  gland_PCA7_a20: adj=-1.0000 LOO_r=0.3567 IS_r=0.7104 gap=0.3537 F1=0.3519 QWK=0.2609
  gland_PCA7_a50: adj=-1.0000 LOO_r=0.3560 IS_r=0.7101 gap=0.3541 F1=0.3519 QWK=0.2609
  gland_PCA7_a100: adj=-1.0000 LOO_r=0.3546 IS_r=0.7102 gap=0.3556 F1=0.3519 QWK=0.2609
  gland_PCA7_a200: adj=-1.0000 LOO_r=0.3515 IS_r=0.7102 gap=0.3586 F1=0.3519 QWK=0.2609
  gland_PCA8_a1: adj=-1.0000 LOO_r=0.3214 IS_r=0.7084 gap=0.3870 F1=0.3519 QWK=0.2609
  gland_PCA8_a5: adj=-1.0000 LOO_r=0.3213 IS_r=0.7084 gap=0.3871 F1=0.3519 QWK=0.2609
  gland_PCA8_a10: adj=-1.0000 LOO_r=0.3213 IS_r=0.7084 gap=0.3871 F1=0.3519 QWK=0.2609
  gland_PCA8_a20: adj=-1.0000 LOO_r=0.3213 IS_r=0.7082 gap=0.3869 F1=0.3519 QWK=0.2609
  gland_PCA8_a50: adj=-1.0000 LOO_r=0.3210 IS_r=0.7083 gap=0.3872 F1=0.3519 QWK=0.2609
  gland_PCA8_a100: adj=-1.0000 LOO_r=0.3205 IS_r=0.7085 gap=0.3880 F1=0.3519 QWK=0.2609
  gland_PCA8_a200: adj=-1.0000 LOO_r=0.3196 IS_r=0.7086 gap=0.3890 F1=0.3519 QWK=0.2609
  gland_PCA9_a1: adj=-1.0000 LOO_r=0.1960 IS_r=0.7123 gap=0.5164 F1=0.3273 QWK=0.1600
  gland_PCA9_a5: adj=-1.0000 LOO_r=0.1964 IS_r=0.7123 gap=0.5160 F1=0.3273 QWK=0.1600
  gland_PCA9_a10: adj=-1.0000 LOO_r=0.1964 IS_r=0.7123 gap=0.5159 F1=0.3273 QWK=0.1600
  gland_PCA9_a20: adj=-1.0000 LOO_r=0.1975 IS_r=0.7123 gap=0.5149 F1=0.3273 QWK=0.1600
  gland_PCA9_a50: adj=-1.0000 LOO_r=0.2000 IS_r=0.7123 gap=0.5124 F1=0.3273 QWK=0.1600
