Round 6 Details
================================================================================

Best model: E_PCA20_Ridge_a50
Description: gland emb PCA(20) + Ridge(a=50)
LOO Pearson r: 0.6469
IS Pearson r: 0.9441
Gap: 0.2972
Adjusted: 0.5733

Best at various gap thresholds:
  gap<=0.30: E_PCA20_Ridge_a50 LOO_r=0.6469 gap=0.2972 adj=0.5733

All configurations (sorted by adjusted):
  A_PCA7_Ridge_a2: adj=-1.0000 LOO_r=0.3573 IS_r=0.7106 gap=0.3533 F1=0.3519 QWK=0.2609
  A_PCA7_Ridge_a3: adj=-1.0000 LOO_r=0.3573 IS_r=0.7106 gap=0.3533 F1=0.3519 QWK=0.2609
  A_PCA7_Ridge_a5: adj=-1.0000 LOO_r=0.3573 IS_r=0.7106 gap=0.3533 F1=0.3519 QWK=0.2609
  A_PCA7_Ridge_a7: adj=-1.0000 LOO_r=0.3571 IS_r=0.7106 gap=0.3535 F1=0.3519 QWK=0.2609
  A_PCA7_Ridge_a10: adj=-1.0000 LOO_r=0.3571 IS_r=0.7105 gap=0.3534 F1=0.3519 QWK=0.2609
  A_PCA7_Ridge_a15: adj=-1.0000 LOO_r=0.3569 IS_r=0.7106 gap=0.3536 F1=0.3519 QWK=0.2609
  A_PCA7_Ridge_a20: adj=-1.0000 LOO_r=0.3569 IS_r=0.7104 gap=0.3535 F1=0.3519 QWK=0.2609
  A_PCA7_Ridge_a30: adj=-1.0000 LOO_r=0.3565 IS_r=0.7103 gap=0.3538 F1=0.3519 QWK=0.2609
  A_PCA7_Ridge_a50: adj=-1.0000 LOO_r=0.3559 IS_r=0.7101 gap=0.3543 F1=0.3519 QWK=0.2609
  A_PCA7_Ridge_a75: adj=-1.0000 LOO_r=0.3552 IS_r=0.7102 gap=0.3550 F1=0.3519 QWK=0.2609
  A_PCA7_Ridge_a100: adj=-1.0000 LOO_r=0.3546 IS_r=0.7102 gap=0.3556 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a1: adj=-1.0000 LOO_r=0.3215 IS_r=0.7085 gap=0.3870 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a2: adj=-1.0000 LOO_r=0.3213 IS_r=0.7084 gap=0.3871 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a3: adj=-1.0000 LOO_r=0.3214 IS_r=0.7084 gap=0.3870 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a5: adj=-1.0000 LOO_r=0.3213 IS_r=0.7084 gap=0.3871 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a7: adj=-1.0000 LOO_r=0.3215 IS_r=0.7084 gap=0.3869 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a10: adj=-1.0000 LOO_r=0.3214 IS_r=0.7084 gap=0.3870 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a15: adj=-1.0000 LOO_r=0.3213 IS_r=0.7084 gap=0.3870 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a20: adj=-1.0000 LOO_r=0.3213 IS_r=0.7083 gap=0.3870 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a30: adj=-1.0000 LOO_r=0.3212 IS_r=0.7082 gap=0.3870 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a50: adj=-1.0000 LOO_r=0.3211 IS_r=0.7083 gap=0.3872 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a75: adj=-1.0000 LOO_r=0.3209 IS_r=0.7084 gap=0.3875 F1=0.3519 QWK=0.2609
  A_PCA8_Ridge_a100: adj=-1.0000 LOO_r=0.3206 IS_r=0.7085 gap=0.3879 F1=0.3519 QWK=0.2609
  A_PCA9_Ridge_a1: adj=-1.0000 LOO_r=0.1956 IS_r=0.7124 gap=0.5168 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a2: adj=-1.0000 LOO_r=0.1959 IS_r=0.7124 gap=0.5164 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a3: adj=-1.0000 LOO_r=0.1959 IS_r=0.7123 gap=0.5164 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a5: adj=-1.0000 LOO_r=0.1961 IS_r=0.7123 gap=0.5162 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a7: adj=-1.0000 LOO_r=0.1964 IS_r=0.7124 gap=0.5160 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a10: adj=-1.0000 LOO_r=0.1966 IS_r=0.7123 gap=0.5157 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a15: adj=-1.0000 LOO_r=0.1971 IS_r=0.7123 gap=0.5152 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a20: adj=-1.0000 LOO_r=0.1977 IS_r=0.7123 gap=0.5146 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a30: adj=-1.0000 LOO_r=0.1983 IS_r=0.7123 gap=0.5141 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a50: adj=-1.0000 LOO_r=0.2000 IS_r=0.7125 gap=0.5124 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a75: adj=-1.0000 LOO_r=0.2019 IS_r=0.7125 gap=0.5106 F1=0.3273 QWK=0.1600
  A_PCA9_Ridge_a100: adj=-1.0000 LOO_r=0.2040 IS_r=0.7128 gap=0.5088 F1=0.3273 QWK=0.1600
  A_PCA10_Ridge_a1: adj=-1.0000 LOO_r=0.4757 IS_r=0.8320 gap=0.3563 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a2: adj=-1.0000 LOO_r=0.4753 IS_r=0.8320 gap=0.3567 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a3: adj=-1.0000 LOO_r=0.4756 IS_r=0.8320 gap=0.3564 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a5: adj=-1.0000 LOO_r=0.4748 IS_r=0.8320 gap=0.3571 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a7: adj=-1.0000 LOO_r=0.4749 IS_r=0.8320 gap=0.3571 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a10: adj=-1.0000 LOO_r=0.4745 IS_r=0.8319 gap=0.3574 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a15: adj=-1.0000 LOO_r=0.4739 IS_r=0.8318 gap=0.3579 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a20: adj=-1.0000 LOO_r=0.4735 IS_r=0.8317 gap=0.3582 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a30: adj=-1.0000 LOO_r=0.4731 IS_r=0.8314 gap=0.3583 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a50: adj=-1.0000 LOO_r=0.4709 IS_r=0.8310 gap=0.3601 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a75: adj=-1.0000 LOO_r=0.4688 IS_r=0.8305 gap=0.3617 F1=0.4149 QWK=0.3846
  A_PCA10_Ridge_a100: adj=-1.0000 LOO_r=0.4659 IS_r=0.8300 gap=0.3641 F1=0.4149 QWK=0.3846
  A_PCA12_Ridge_a1: adj=-1.0000 LOO_r=0.4758 IS_r=0.8366 gap=0.3608 F1=0.4470 QWK=0.4286
  A_PCA12_Ridge_a2: adj=-1.0000 LOO_r=0.4757 IS_r=0.8366 gap=0.3609 F1=0.4470 QWK=0.4286
  A_PCA12_Ridge_a3: adj=-1.0000 LOO_r=0.4756 IS_r=0.8366 gap=0.3610 F1=0.4470 QWK=0.4286
  A_PCA12_Ridge_a5: adj=-1.0000 LOO_r=0.4756 IS_r=0.8365 gap=0.3609 F1=0.4470 QWK=0.4286
  A_PCA12_Ridge_a7: adj=-1.0000 LOO_r=0.4755 IS_r=0.8366 gap=0.3611 F1=0.4470 QWK=0.4286
  A_PCA12_Ridge_a10: adj=-1.0000 LOO_r=0.4753 IS_r=0.8364 gap=0.3611 F1=0.4470 QWK=0.4286
  A_PCA12_Ridge_a15: adj=-1.0000 LOO_r=0.4751 IS_r=0.8364 gap=0.3612 F1=0.4470 QWK=0.4286
  A_PCA12_Ridge_a20: adj=-1.0000 LOO_r=0.4749 IS_r=0.8363 gap=0.3614 F1=0.3949 QWK=0.3704
  A_PCA12_Ridge_a30: adj=-1.0000 LOO_r=0.4745 IS_r=0.8361 gap=0.3616 F1=0.3949 QWK=0.3704
  A_PCA12_Ridge_a50: adj=-1.0000 LOO_r=0.4735 IS_r=0.8359 gap=0.3624 F1=0.3949 QWK=0.3704
  A_PCA12_Ridge_a75: adj=-1.0000 LOO_r=0.4723 IS_r=0.8352 gap=0.3630 F1=0.3949 QWK=0.3704
  A_PCA12_Ridge_a100: adj=-1.0000 LOO_r=0.4707 IS_r=0.8347 gap=0.3640 F1=0.3949 QWK=0.3704
  A_PCA15_Ridge_a1: adj=-1.0000 LOO_r=0.4829 IS_r=0.8690 gap=0.3861 F1=0.4717 QWK=0.4242
  A_PCA15_Ridge_a2: adj=-1.0000 LOO_r=0.4832 IS_r=0.8690 gap=0.3858 F1=0.4717 QWK=0.4242
  A_PCA15_Ridge_a3: adj=-1.0000 LOO_r=0.4833 IS_r=0.8691 gap=0.3857 F1=0.4717 QWK=0.4242
  A_PCA15_Ridge_a5: adj=-1.0000 LOO_r=0.4834 IS_r=0.8689 gap=0.3855 F1=0.4717 QWK=0.4242
  A_PCA15_Ridge_a7: adj=-1.0000 LOO_r=0.4836 IS_r=0.8687 gap=0.3852 F1=0.4717 QWK=0.4242
  A_PCA15_Ridge_a10: adj=-1.0000 LOO_r=0.4838 IS_r=0.8686 gap=0.3849 F1=0.4717 QWK=0.4242
  A_PCA15_Ridge_a15: adj=-1.0000 LOO_r=0.4842 IS_r=0.8685 gap=0.3843 F1=0.4717 QWK=0.4242
  A_PCA15_Ridge_a20: adj=-1.0000 LOO_r=0.4849 IS_r=0.8682 gap=0.3833 F1=0.4717 QWK=0.4242
  A_PCA15_Ridge_a30: adj=-1.0000 LOO_r=0.4856 IS_r=0.8680 gap=0.3824 F1=0.4717 QWK=0.4242
  A_PCA15_Ridge_a50: adj=-1.0000 LOO_r=0.4867 IS_r=0.8670 gap=0.3804 F1=0.4717 QWK=0.4242
  A_PCA15_Ridge_a75: adj=-1.0000 LOO_r=0.4881 IS_r=0.8661 gap=0.3780 F1=0.5013 QWK=0.4375
  A_PCA15_Ridge_a100: adj=-1.0000 LOO_r=0.4891 IS_r=0.8652 gap=0.3761 F1=0.5013 QWK=0.4375
  B_PLS_nc1: adj=-1.0000 LOO_r=0.4363 IS_r=0.7785 gap=0.3422 F1=0.4909 QWK=0.3704
  B_PLS_nc2: adj=-1.0000 LOO_r=0.5459 IS_r=0.8971 gap=0.3512 F1=0.4444 QWK=0.4286
  B_PLS_nc3: adj=-1.0000 LOO_r=0.5748 IS_r=0.9297 gap=0.3548 F1=0.4717 QWK=0.4242
  B_PLS_nc4: adj=-1.0000 LOO_r=0.6057 IS_r=0.9646 gap=0.3589 F1=0.5643 QWK=0.5000
  B_PLS_nc5: adj=-1.0000 LOO_r=0.6123 IS_r=0.9788 gap=0.3666 F1=0.4676 QWK=0.3529
  B_PLS_nc6: adj=-1.0000 LOO_r=0.5992 IS_r=0.9870 gap=0.3878 F1=0.6639 QWK=0.5556
  B_PLS_nc7: adj=-1.0000 LOO_r=0.5941 IS_r=0.9903 gap=0.3962 F1=0.6639 QWK=0.5556
  B_PLS_nc8: adj=-1.0000 LOO_r=0.5453 IS_r=0.9979 gap=0.4526 F1=0.6337 QWK=0.5405
  C_PCA5_EN_a0.05_l0.3: adj=-1.0000 LOO_r=0.1371 IS_r=0.5309 gap=0.3938 F1=0.2913 QWK=0.0870
  C_PCA5_EN_a0.05_l0.5: adj=-1.0000 LOO_r=0.1363 IS_r=0.5309 gap=0.3946 F1=0.2913 QWK=0.0870
  C_PCA5_EN_a0.05_l0.7: adj=-1.0000 LOO_r=0.1353 IS_r=0.5310 gap=0.3957 F1=0.2913 QWK=0.0870
  C_PCA5_EN_a0.05_l0.9: adj=-1.0000 LOO_r=0.1343 IS_r=0.5311 gap=0.3968 F1=0.2913 QWK=0.0870
  C_PCA5_EN_a0.1_l0.3: adj=-1.0000 LOO_r=0.1358 IS_r=0.5310 gap=0.3952 F1=0.2913 QWK=0.0870
  C_PCA5_EN_a0.1_l0.5: adj=-1.0000 LOO_r=0.1338 IS_r=0.5311 gap=0.3973 F1=0.2913 QWK=0.0870
  C_PCA5_EN_a0.1_l0.7: adj=-1.0000 LOO_r=0.1317 IS_r=0.5312 gap=0.3996 F1=0.2913 QWK=0.0870
  C_PCA5_EN_a0.1_l0.9: adj=-1.0000 LOO_r=0.1296 IS_r=0.5314 gap=0.4018 F1=0.2913 QWK=0.0870
  C_PCA5_EN_a0.3_l0.3: adj=-1.0000 LOO_r=0.1296 IS_r=0.5313 gap=0.4017 F1=0.2913 QWK=0.0870
  C_PCA5_EN_a0.3_l0.5: adj=-1.0000 LOO_r=0.1228 IS_r=0.5314 gap=0.4086 F1=0.2360 QWK=0.0000
  C_PCA5_EN_a0.3_l0.7: adj=-1.0000 LOO_r=0.1157 IS_r=0.5312 gap=0.4155 F1=0.2360 QWK=0.0000
  C_PCA5_EN_a0.3_l0.9: adj=-1.0000 LOO_r=0.1082 IS_r=0.5307 gap=0.4225 F1=0.2360 QWK=0.0000
  C_PCA5_EN_a0.5_l0.3: adj=-1.0000 LOO_r=0.1227 IS_r=0.5314 gap=0.4087 F1=0.2360 QWK=0.0000
  C_PCA5_EN_a0.5_l0.5: adj=-1.0000 LOO_r=0.1108 IS_r=0.5309 gap=0.4201 F1=0.2360 QWK=0.0000
  C_PCA5_EN_a0.5_l0.7: adj=-1.0000 LOO_r=0.0974 IS_r=0.5296 gap=0.4322 F1=0.2360 QWK=0.0000
  C_PCA5_EN_a0.5_l0.9: adj=-1.0000 LOO_r=0.0825 IS_r=0.5280 gap=0.4455 F1=0.2360 QWK=0.0000
  C_PCA5_EN_a1.0_l0.3: adj=-1.0000 LOO_r=0.1042 IS_r=0.5303 gap=0.4261 F1=0.2360 QWK=0.0000
  C_PCA5_EN_a1.0_l0.5: adj=-1.0000 LOO_r=0.0741 IS_r=0.5268 gap=0.4527 F1=0.1709 QWK=-0.0952
