Round 19 Details
================================================================================

Approach: Increased tumor PCA to 29 components
  Systematic sweep: tPC x gPC x interpretable features x Ridge alpha
  Key test: dropping gf (Config C) to see if D8-A27N error is fixed
  musk_tumor PCA→29, musk_gland PCA→20
  LOO-safe PC selection, ONE Ridge model

Best model: A_tPC8_gPC3_gf_git_bgit_a1.5
Description: Ridge(a=1.5) tPC(8)+gPC(3)+gf_git_bgit [f=14]
LOO Pearson r: 0.9226
IS Pearson r: 0.9840
Gap: 0.0614
Adjusted: 0.9226

Feature correlations:
  gf: r=-0.4148
  git: r=-0.5571
  bgit: r=-0.1272

All configurations (310 total, sorted by adjusted):
  D_tPC9_gPC3_gf_git_bgit_a0.3: adj=0.9181 LOO_r=0.9181 IS_r=0.9873 gap=0.0692 F1=0.8056 QWK=0.8333
  B_tPC8_gPC4_gf_git_bgit_a0.5: adj=0.9181 LOO_r=0.9181 IS_r=0.9855 gap=0.0674 F1=0.8997 QWK=0.9231
  E_tPC8_gPC4_gf_git_a1.0: adj=0.9175 LOO_r=0.9175 IS_r=0.9813 gap=0.0638 F1=0.7980 QWK=0.8421
  E_tPC10_gPC4_gf_git_a1.5: adj=0.9173 LOO_r=0.9173 IS_r=0.9901 gap=0.0728 F1=0.8027 QWK=0.8235
  D_tPC10_gPC3_gf_git_bgit_a0.3: adj=0.9167 LOO_r=0.9167 IS_r=0.9913 gap=0.0746 F1=0.8375 QWK=0.8571
  E_tPC10_gPC4_gf_git_a1.0: adj=0.9166 LOO_r=0.9166 IS_r=0.9907 gap=0.0741 F1=0.8027 QWK=0.8235
  D_tPC9_gPC3_gf_git_bgit_a3.0: adj=0.9164 LOO_r=0.9164 IS_r=0.9823 gap=0.0660 F1=0.8011 QWK=0.8333
  E_tPC8_gPC3_gf_git_a1.5: adj=0.9158 LOO_r=0.9158 IS_r=0.9805 gap=0.0646 F1=0.7699 QWK=0.8108
  E_tPC8_gPC3_gf_a1.5: adj=0.9154 LOO_r=0.9154 IS_r=0.9780 gap=0.0626 F1=0.8329 QWK=0.8718
  D_tPC9_gPC4_gf_git_bgit_a2.0: adj=0.9150 LOO_r=0.9150 IS_r=0.9845 gap=0.0695 F1=0.8359 QWK=0.8649
  E_tPC8_gPC3_gf_a1.0: adj=0.9150 LOO_r=0.9150 IS_r=0.9785 gap=0.0635 F1=0.8329 QWK=0.8718
  E_tPC8_gPC4_gf_git_a0.5: adj=0.9149 LOO_r=0.9149 IS_r=0.9817 gap=0.0667 F1=0.7980 QWK=0.8421
  E_tPC8_gPC3_gf_git_a1.0: adj=0.9149 LOO_r=0.9149 IS_r=0.9810 gap=0.0661 F1=0.7699 QWK=0.8108
  F_tPC9_gPC0_gf_git_bgit_a0.5: adj=0.9147 LOO_r=0.9147 IS_r=0.9827 gap=0.0680 F1=0.9019 QWK=0.9189
  B_tPC9_gPC4_gf_git_bgit_a1.5: adj=0.9147 LOO_r=0.9147 IS_r=0.9854 gap=0.0707 F1=0.8359 QWK=0.8649
  D_tPC9_gPC4_gf_git_bgit_a1.5: adj=0.9147 LOO_r=0.9147 IS_r=0.9854 gap=0.0707 F1=0.8359 QWK=0.8649
  D_tPC9_gPC4_gf_git_bgit_a3.0: adj=0.9142 LOO_r=0.9142 IS_r=0.9828 gap=0.0686 F1=0.8011 QWK=0.8333
  F_tPC9_gPC0_gf_git_bgit_a1.0: adj=0.9139 LOO_r=0.9139 IS_r=0.9815 gap=0.0676 F1=0.8704 QWK=0.8889
  E_tPC8_gPC4_gf_a1.5: adj=0.9136 LOO_r=0.9136 IS_r=0.9784 gap=0.0648 F1=0.8329 QWK=0.8718
  E_tPC8_gPC3_gf_a0.5: adj=0.9136 LOO_r=0.9136 IS_r=0.9789 gap=0.0653 F1=0.7980 QWK=0.8421
  E_tPC10_gPC4_gf_git_a0.5: adj=0.9135 LOO_r=0.9135 IS_r=0.9912 gap=0.0777 F1=0.8027 QWK=0.8235
  E_tPC8_gPC3_gf_git_a0.5: adj=0.9129 LOO_r=0.9129 IS_r=0.9814 gap=0.0685 F1=0.7699 QWK=0.8108
  B_tPC9_gPC4_gf_git_bgit_a1.0: adj=0.9129 LOO_r=0.9129 IS_r=0.9863 gap=0.0734 F1=0.8681 QWK=0.8889
  D_tPC9_gPC4_gf_git_bgit_a1.0: adj=0.9129 LOO_r=0.9129 IS_r=0.9863 gap=0.0734 F1=0.8681 QWK=0.8889
  E_tPC8_gPC4_gf_a1.0: adj=0.9122 LOO_r=0.9122 IS_r=0.9788 gap=0.0666 F1=0.8329 QWK=0.8718
  F_tPC9_gPC0_gf_git_bgit_a1.5: adj=0.9120 LOO_r=0.9120 IS_r=0.9803 gap=0.0682 F1=0.8704 QWK=0.8889
  F_tPC10_gPC0_gf_git_bgit_a1.0: adj=0.9120 LOO_r=0.9120 IS_r=0.9863 gap=0.0743 F1=0.8704 QWK=0.8889
  F_tPC10_gPC0_gf_git_bgit_a0.5: adj=0.9117 LOO_r=0.9117 IS_r=0.9869 gap=0.0752 F1=0.9019 QWK=0.9189
  D_tPC10_gPC4_gf_git_bgit_a2.0: adj=0.9116 LOO_r=0.9116 IS_r=0.9893 gap=0.0777 F1=0.7714 QWK=0.7879
  E_tPC8_gPC3_gf_bgit_a1.5: adj=0.9114 LOO_r=0.9114 IS_r=0.9805 gap=0.0691 F1=0.8364 QWK=0.8718
  E_tPC8_gPC3_gf_bgit_a1.0: adj=0.9111 LOO_r=0.9111 IS_r=0.9812 gap=0.0701 F1=0.8364 QWK=0.8718
  D_tPC10_gPC4_gf_git_bgit_a3.0: adj=0.9108 LOO_r=0.9108 IS_r=0.9878 gap=0.0770 F1=0.7714 QWK=0.7879
  B_tPC10_gPC4_gf_git_bgit_a1.5: adj=0.9108 LOO_r=0.9108 IS_r=0.9900 gap=0.0792 F1=0.7400 QWK=0.7647
  D_tPC10_gPC4_gf_git_bgit_a1.5: adj=0.9108 LOO_r=0.9108 IS_r=0.9900 gap=0.0792 F1=0.7400 QWK=0.7647
  E_tPC9_gPC4_gf_git_a1.5: adj=0.9107 LOO_r=0.9107 IS_r=0.9849 gap=0.0742 F1=0.8011 QWK=0.8333
  D_tPC9_gPC4_gf_git_bgit_a0.7: adj=0.9107 LOO_r=0.9107 IS_r=0.9868 gap=0.0761 F1=0.8681 QWK=0.8889
  F_tPC10_gPC0_gf_git_bgit_a1.5: adj=0.9100 LOO_r=0.9100 IS_r=0.9855 gap=0.0755 F1=0.8375 QWK=0.8571
  F_tPC9_gPC0_gf_git_bgit_a2.0: adj=0.9099 LOO_r=0.9099 IS_r=0.9789 gap=0.0689 F1=0.8375 QWK=0.8571
  E_tPC8_gPC3_gf_bgit_a0.5: adj=0.9097 LOO_r=0.9097 IS_r=0.9818 gap=0.0721 F1=0.8692 QWK=0.8947
  E_tPC8_gPC4_gf_a0.5: adj=0.9096 LOO_r=0.9096 IS_r=0.9791 gap=0.0695 F1=0.7980 QWK=0.8421
  C_tPC8_gPC3_git_bgit_a2.0: adj=0.9091 LOO_r=0.9091 IS_r=0.9770 gap=0.0679 F1=0.8997 QWK=0.9231
  E_tPC8_gPC4_gf_bgit_a1.5: adj=0.9086 LOO_r=0.9086 IS_r=0.9803 gap=0.0717 F1=0.8038 QWK=0.8421
  B_tPC9_gPC4_gf_git_bgit_a0.5: adj=0.9086 LOO_r=0.9086 IS_r=0.9872 gap=0.0786 F1=0.8359 QWK=0.8649
  D_tPC9_gPC4_gf_git_bgit_a0.5: adj=0.9086 LOO_r=0.9086 IS_r=0.9872 gap=0.0786 F1=0.8359 QWK=0.8649
  F_tPC11_gPC0_gf_git_bgit_a0.5: adj=0.9084 LOO_r=0.9084 IS_r=0.9886 gap=0.0802 F1=0.8056 QWK=0.8333
  E_tPC9_gPC4_gf_git_a1.0: adj=0.9082 LOO_r=0.9082 IS_r=0.9856 gap=0.0774 F1=0.8011 QWK=0.8333
  B_tPC10_gPC4_gf_git_bgit_a1.0: adj=0.9082 LOO_r=0.9082 IS_r=0.9907 gap=0.0825 F1=0.7738 QWK=0.8000
  D_tPC10_gPC4_gf_git_bgit_a1.0: adj=0.9082 LOO_r=0.9082 IS_r=0.9907 gap=0.0825 F1=0.7738 QWK=0.8000
  C_tPC8_gPC3_git_bgit_a1.5: adj=0.9077 LOO_r=0.9077 IS_r=0.9774 gap=0.0697 F1=0.8997 QWK=0.9231
  E_tPC9_gPC3_gf_git_a1.5: adj=0.9076 LOO_r=0.9076 IS_r=0.9838 gap=0.0762 F1=0.7407 QWK=0.7778
  F_tPC10_gPC0_gf_git_bgit_a2.0: adj=0.9075 LOO_r=0.9075 IS_r=0.9847 gap=0.0772 F1=0.8375 QWK=0.8571
  E_tPC8_gPC4_gf_bgit_a1.0: adj=0.9069 LOO_r=0.9069 IS_r=0.9810 gap=0.0741 F1=0.8692 QWK=0.8947
  C_tPC10_gPC3_git_bgit_a2.0: adj=0.9062 LOO_r=0.9062 IS_r=0.9868 gap=0.0805 F1=0.7348 QWK=0.7500
  F_tPC11_gPC0_gf_git_bgit_a1.0: adj=0.9059 LOO_r=0.9059 IS_r=0.9882 gap=0.0823 F1=0.7738 QWK=0.8000
  E_tPC9_gPC3_gf_a1.0: adj=0.9058 LOO_r=0.9058 IS_r=0.9833 gap=0.0775 F1=0.8011 QWK=0.8333
  E_tPC9_gPC3_gf_git_a1.0: adj=0.9058 LOO_r=0.9058 IS_r=0.9847 gap=0.0789 F1=0.7407 QWK=0.7778
  E_tPC9_gPC3_gf_a0.5: adj=0.9057 LOO_r=0.9057 IS_r=0.9841 gap=0.0784 F1=0.8011 QWK=0.8333
  D_tPC9_gPC4_gf_git_bgit_a0.3: adj=0.9056 LOO_r=0.9056 IS_r=0.9875 gap=0.0819 F1=0.8359 QWK=0.8649
  E_tPC9_gPC3_gf_a1.5: adj=0.9055 LOO_r=0.9055 IS_r=0.9824 gap=0.0768 F1=0.7699 QWK=0.8108
  C_tPC8_gPC3_git_bgit_a1.0: adj=0.9055 LOO_r=0.9055 IS_r=0.9776 gap=0.0721 F1=0.8692 QWK=0.8947
  D_tPC10_gPC4_gf_git_bgit_a0.7: adj=0.9052 LOO_r=0.9052 IS_r=0.9911 gap=0.0859 F1=0.7738 QWK=0.8000
  C_tPC8_gPC4_git_bgit_a2.0: adj=0.9048 LOO_r=0.9048 IS_r=0.9770 gap=0.0722 F1=0.8997 QWK=0.9231
  E_tPC8_gPC4_gf_bgit_a0.5: adj=0.9039 LOO_r=0.9039 IS_r=0.9817 gap=0.0778 F1=0.8347 QWK=0.8718
  C_tPC10_gPC3_git_bgit_a1.5: adj=0.9039 LOO_r=0.9039 IS_r=0.9873 gap=0.0834 F1=0.7348 QWK=0.7500
  E_tPC9_gPC4_gf_git_a0.5: adj=0.9035 LOO_r=0.9035 IS_r=0.9862 gap=0.0827 F1=0.7699 QWK=0.8108
  B_tPC8_gPC5_gf_git_bgit_a1.5: adj=0.9035 LOO_r=0.9035 IS_r=0.9856 gap=0.0821 F1=0.8359 QWK=0.8649
  E_tPC9_gPC3_gf_git_a0.5: adj=0.9025 LOO_r=0.9025 IS_r=0.9854 gap=0.0829 F1=0.7407 QWK=0.7778
  E_tPC9_gPC3_gf_bgit_a1.0: adj=0.9024 LOO_r=0.9024 IS_r=0.9838 gap=0.0814 F1=0.8056 QWK=0.8333
  C_tPC8_gPC3_git_bgit_a0.5: adj=0.9024 LOO_r=0.9024 IS_r=0.9780 gap=0.0755 F1=0.8692 QWK=0.8947
  E_tPC9_gPC3_gf_bgit_a0.5: adj=0.9024 LOO_r=0.9024 IS_r=0.9848 gap=0.0824 F1=0.8056 QWK=0.8333
  C_tPC8_gPC4_git_bgit_a1.5: adj=0.9024 LOO_r=0.9024 IS_r=0.9774 gap=0.0750 F1=0.8997 QWK=0.9231
  B_tPC10_gPC4_gf_git_bgit_a0.5: adj=0.9022 LOO_r=0.9022 IS_r=0.9913 gap=0.0891 F1=0.8052 QWK=0.8333
  D_tPC10_gPC4_gf_git_bgit_a0.5: adj=0.9022 LOO_r=0.9022 IS_r=0.9913 gap=0.0891 F1=0.8052 QWK=0.8333
  B_tPC8_gPC5_gf_git_bgit_a1.0: adj=0.9022 LOO_r=0.9022 IS_r=0.9867 gap=0.0846 F1=0.8359 QWK=0.8649
  E_tPC9_gPC3_gf_bgit_a1.5: adj=0.9015 LOO_r=0.9015 IS_r=0.9828 gap=0.0813 F1=0.7716 QWK=0.8000
  F_tPC11_gPC0_gf_git_bgit_a1.5: adj=0.9013 LOO_r=0.9013 IS_r=0.9877 gap=0.0864 F1=0.7051 QWK=0.7273
  C_tPC10_gPC3_git_bgit_a1.0: adj=0.9004 LOO_r=0.9004 IS_r=0.9878 gap=0.0874 F1=0.7348 QWK=0.7500
  E_tPC10_gPC3_gf_a1.5: adj=0.8998 LOO_r=0.8998 IS_r=0.9859 gap=0.0861 F1=0.7051 QWK=0.7273
  E_tPC10_gPC3_gf_a1.0: adj=0.8996 LOO_r=0.8996 IS_r=0.9867 gap=0.0872 F1=0.7354 QWK=0.7647
  B_tPC8_gPC5_gf_git_bgit_a0.5: adj=0.8991 LOO_r=0.8991 IS_r=0.9878 gap=0.0887 F1=0.8653 QWK=0.8947
  C_tPC8_gPC4_git_bgit_a1.0: adj=0.8989 LOO_r=0.8989 IS_r=0.9777 gap=0.0788 F1=0.8997 QWK=0.9231
  E_tPC9_gPC4_gf_a1.5: adj=0.8980 LOO_r=0.8980 IS_r=0.9833 gap=0.0853 F1=0.8325 QWK=0.8571
  D_tPC10_gPC4_gf_git_bgit_a0.3: adj=0.8980 LOO_r=0.8980 IS_r=0.9915 gap=0.0935 F1=0.7738 QWK=0.8000
  C_tPC9_gPC3_git_bgit_a2.0: adj=0.8973 LOO_r=0.8973 IS_r=0.9782 gap=0.0809 F1=0.8056 QWK=0.8333
  A_tPC11_gPC3_gf_git_bgit_a1.0: adj=0.8972 LOO_r=0.8972 IS_r=0.9912 gap=0.0940 F1=0.7714 QWK=0.7879
  D_tPC11_gPC3_gf_git_bgit_a1.0: adj=0.8972 LOO_r=0.8972 IS_r=0.9912 gap=0.0940 F1=0.7714 QWK=0.7879
  A_tPC11_gPC3_gf_git_bgit_a1.5: adj=0.8972 LOO_r=0.8972 IS_r=0.9907 gap=0.0935 F1=0.7348 QWK=0.7500
  D_tPC11_gPC3_gf_git_bgit_a1.5: adj=0.8972 LOO_r=0.8972 IS_r=0.9907 gap=0.0935 F1=0.7348 QWK=0.7500
  D_tPC11_gPC3_gf_git_bgit_a0.7: adj=0.8971 LOO_r=0.8971 IS_r=0.9916 gap=0.0945 F1=0.7714 QWK=0.7879
  D_tPC11_gPC3_gf_git_bgit_a2.0: adj=0.8970 LOO_r=0.8970 IS_r=0.9900 gap=0.0930 F1=0.7348 QWK=0.7500
  E_tPC10_gPC3_gf_a0.5: adj=0.8970 LOO_r=0.8970 IS_r=0.9875 gap=0.0905 F1=0.7716 QWK=0.8000
