Round 15 Details
================================================================================

Best model: blend3_emb0.95_blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.05
Description: 3way 0.95*blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4 + 0.05*gfrac
LOO Pearson r: 0.7585
IS Pearson r: 0.8933
Gap: 0.1347
Adjusted: 0.7585

Best per category:
  Gland SVR: svr_gland_PCA20_C0.1_e0.6 adj=0.7288 LOO_r=0.7288 gap=0.1377
  Tumor SVR: svr_tumor_PCA12_C2_e0.4 adj=0.7053 LOO_r=0.7053 gap=0.1352
  Gland NuSVR: nusvr_gland_PCA20_nu0.9_C0.1 adj=0.7346 LOO_r=0.7439 gap=0.1688
  Tumor NuSVR: nusvr_tumor_PCA15_nu0.7_C5.0 adj=0.6398 LOO_r=0.6515 gap=0.1735
  Combined SVR: comb_svr_PCA12_C0.2_e0.3 adj=0.6603 LOO_r=0.6630 gap=0.1554
  Combined NuSVR: comb_nusvr_PCA15_nu0.5_C2.0 adj=0.6464 LOO_r=0.6573 gap=0.1717
  2-way Blend: blend2_g0.55_nusvr_gland_PCA20_nu0.9_C0.1_t0.45_svr_tumor_PCA12_C2_e0.4 adj=0.7580 LOO_r=0.7646 gap=0.1632
  3-way Blend (via 2way): blend3_emb0.95_blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.05 adj=0.7585 LOO_r=0.7585 gap=0.1347
  3-way Blend (direct): blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C2_e0.4_gf0.05 adj=0.7585 LOO_r=0.7585 gap=0.1350
  Gland Frac: gfrac_svr_C5_e0.5 adj=0.3875 LOO_r=0.3875 gap=0.0282

All configurations (sorted by adjusted):
  blend3_emb0.95_blend2_g0.50_nusvr_gland_PCA20_nu0.9_C0.1_t0.50_svr_tumor_PCA12_C2_e0.4_gf0.05: adj=0.7556 LOO_r=0.7622 IS_r=0.9252 gap=0.1631 F1=0.5988 QWK=0.6000
  blend2_g0.70_svr_gland_PCA20_C0.1_e0.6_t0.30_svr_tumor_PCA12_C2_e0.4: adj=0.7556 LOO_r=0.7556 IS_r=0.8921 gap=0.1364 F1=0.5368 QWK=0.6250
  blend3b_g0.50_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C2_e0.4_gf0.15: adj=0.7555 LOO_r=0.7555 IS_r=0.8899 gap=0.1344 F1=0.5683 QWK=0.6250
  blend2_g0.70_nusvr_gland_PCA20_nu0.9_C0.1_t0.30_svr_tumor_PCA12_C2_e0.4: adj=0.7555 LOO_r=0.7635 IS_r=0.9296 gap=0.1661 F1=0.6375 QWK=0.6452
  blend2_g0.55_svr_gland_PCA20_C0.1_e0.5_t0.45_svr_tumor_PCA12_C2_e0.4: adj=0.7547 LOO_r=0.7547 IS_r=0.8982 gap=0.1435 F1=0.5633 QWK=0.6471
  blend2_g0.60_svr_gland_PCA20_C0.1_e0.5_t0.40_svr_tumor_PCA12_C2_e0.4: adj=0.7546 LOO_r=0.7546 IS_r=0.8996 gap=0.1449 F1=0.5633 QWK=0.6471
  blend3_emb0.85_blend2_g0.55_svr_gland_PCA20_C0.1_e0.6_t0.45_svr_tumor_PCA12_C2_e0.4_gf0.15: adj=0.7545 LOO_r=0.7545 IS_r=0.8888 gap=0.1343 F1=0.5406 QWK=0.5806
  blend2_g0.45_svr_gland_PCA20_C0.1_e0.6_t0.55_svr_tumor_PCA12_C2_e0.4: adj=0.7544 LOO_r=0.7544 IS_r=0.8883 gap=0.1339 F1=0.5899 QWK=0.6250
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.5_t0.35_svr_tumor_PCA12_C2_e0.4_gf0.05: adj=0.7543 LOO_r=0.7543 IS_r=0.9003 gap=0.1460 F1=0.5633 QWK=0.6471
  blend2_g0.40_nusvr_gland_PCA20_nu0.9_C0.1_t0.60_svr_tumor_PCA12_C2_e0.4: adj=0.7542 LOO_r=0.7585 IS_r=0.9172 gap=0.1587 F1=0.5191 QWK=0.5000
