Round 16 Details
================================================================================

Approach: LOO-safe PC selection from musk_gland + musk_tumor PCA(20) + gland_frac
Models: Ridge, ElasticNet only (per human instructions)
PC selection: inside each LOO fold, select top-k PCs by |pearsonr(PC, y_train)|.

Best model: ridge_a10_gPC4_tPC6_interp0
Description: Ridge(a=10) gPC(4)+tPC(6)+interp(0) [f=10]
LOO Pearson r: 0.8033
IS Pearson r: 0.9047
Gap: 0.1014
Adjusted: 0.8033

All configurations (sorted by adjusted):
  enet_a0.01_l10.1_gPC0_tPC6_interp1: adj=0.7703 LOO_r=0.7703 IS_r=0.8748 gap=0.1045 F1=0.6759 QWK=0.7222
  ridge_a0.01_gPC0_tPC6_interp1: adj=0.7703 LOO_r=0.7703 IS_r=0.8749 gap=0.1046 F1=0.6759 QWK=0.7222
  ridge_a2_gPC0_tPC6_interp1: adj=0.7694 LOO_r=0.7694 IS_r=0.8717 gap=0.1023 F1=0.6100 QWK=0.6471
  enet_a0.01_l10.3_gPC0_tPC6_interp1: adj=0.7691 LOO_r=0.7691 IS_r=0.8747 gap=0.1056 F1=0.6759 QWK=0.7222
  ridge_a0.5_gPC4_tPC6_interp1: adj=0.7685 LOO_r=0.7685 IS_r=0.9136 gap=0.1451 F1=0.6292 QWK=0.7317
  enet_a0.01_l10.5_gPC0_tPC6_interp1: adj=0.7677 LOO_r=0.7677 IS_r=0.8746 gap=0.1069 F1=0.6442 QWK=0.6857
  ridge_a0.1_gPC4_tPC6_interp1: adj=0.7675 LOO_r=0.7675 IS_r=0.9137 gap=0.1462 F1=0.6292 QWK=0.7317
  ridge_a0.01_gPC4_tPC6_interp1: adj=0.7673 LOO_r=0.7673 IS_r=0.9137 gap=0.1464 F1=0.6292 QWK=0.7317
  ridge_a10_gPC3_tPC6_interp0: adj=0.7673 LOO_r=0.7673 IS_r=0.8711 gap=0.1038 F1=0.5700 QWK=0.5806
  enet_a0.01_l10.5_gPC4_tPC6_interp1: adj=0.7672 LOO_r=0.7672 IS_r=0.9136 gap=0.1464 F1=0.6012 QWK=0.7000
