round,loo_r,is_r,gap,adjusted
1,0.3036204362853217,0.4156,0.112,0.3036
2,0.3340320867149481,0.4769,0.1428,0.334
3,0.5679656168918688,0.6617,0.0937,0.568
4,0.5679656168918688,0.6617,0.0937,0.568
5,0.6737817428321594,,,
6,0.6030212406904758,0.7055,0.1025,0.603
7,0.6030212406904758,0.7055,0.1025,0.603
8,0.6941851890361814,0.7836,0.0894,0.6942
9,0.8310570024486867,0.9444,0.1134,0.8311
10,0.8039531993856275,0.8905,0.0865,0.804
11,0.8310570024486867,0.9444,0.1134,0.8311
12,0.8430214256698187,0.79,0.156,0.6296
13,0.8310570024486867,0.9444,0.1134,0.8311
14,0.8310570024486867,0.9445,0.1134,0.8311
15,0.8310570024486867,0.9444,0.1134,0.8311
16,0.8373098432262351,0.9572,0.1199,0.8373
17,0.8373098432262351,0.9572,0.1199,0.8373
18,0.8261113988248692,0.9545,0.1284,0.8261
19,0.827708488847074,0.9577,0.13,0.8277
20,0.8261113988248692,0.9545,0.1284,0.8261
