round,loo_r,is_r,gap,adjusted
1,0.3028245978152032,0.4155,0.1126,0.3028
2,0.3028245978152032,0.4155,0.1126,0.3028
3,0.5032861679540941,0.6014,0.0982,0.5033
4,0.5443851808778805,0.6288,0.1255,0.5033
5,0.5113065725640705,0.65,0.2,0.43
6,0.5032861679540941,0.6014,0.0982,0.5033
7,0.5032861679540941,0.6014,0.0982,0.5033
8,0.6571153124149003,0.9466,0.2895,0.5874
9,0.8265,0.9016,0.0751,0.8265
10,0.8338,0.8992,0.0654,0.8338
11,0.8338,0.8992,0.0654,0.8338
12,0.834,0.9002,0.0662,0.834
13,0.834,0.9002,0.0662,0.834
14,0.834,0.9002,0.0662,0.834
15,0.8374,0.9234,0.0861,0.8374
16,0.8483,0.9133,0.0649,0.8483
17,0.8539,0.9185,0.0647,0.8539
18,0.7249482615110432,0.9163,0.1914,0.7043
19,0.8469579583550452,0.9144,0.0675,0.847
20,0.8469579583550452,0.9144,0.0675,0.847
