plot_order,figure_panel,experiment,cohort,system,metric,denominator,n_cases,n_patients,n_answered,n_runs,value,sd_runs,ci95_case_lo,ci95_case_hi,ci95_pat_lo,ci95_pat_hi
1,Figure 7h,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases",Human Workflow A,macro-AUC,answered,30,30,30,1,0.6067,0.0,0.4792,0.7394,0.4792,0.7394
2,Figure 7h,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases",Human Workflow B,macro-AUC,answered,30,30,30,1,0.5933,0.0,0.4761,0.7193,0.4761,0.7193
3,Figure 7h,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases",Human Workflow C,macro-AUC,answered,30,30,30,1,0.5925,0.0,0.4651,0.7203,0.4651,0.7203
4,Figure 7h,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases",TITAN Linear Probe,macro-AUC,answered,30,30,30,1,0.6775,0.0,0.5329,0.8137,0.5329,0.8137
5,Figure 7h,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases",TITAN Fine-tune,macro-AUC,answered,30,30,30,1,0.7683,0.0,0.6266,0.8815,0.6266,0.8815
6,Figure 7h,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases",MUSK ABMIL,macro-AUC,answered,30,30,30,1,0.7317,0.0,0.5712,0.8645,0.5712,0.8645
7,Figure 7h,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases",UNI ABMIL,macro-AUC,answered,30,30,30,1,0.6967,0.0,0.5401,0.8503,0.5401,0.8503
8,Figure 7h,"Tubule formation grading, internal","TCGA-BRCA held-out, 30 cases",TissueLab (Co-Evolving),macro-AUC,answered,30,30,30,5,0.8358,0.0213,0.7298,0.922,0.7298,0.922
